Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,Culture_condition,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR7770822,OTHER,201,1388622506,PRJNA488313,SAMN09930088,637975819,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626260,GSM3359970,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:43:00Z,1,GSM3359970,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770823,OTHER,201,14308174908,PRJNA488313,SAMN09930088,5953973628,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626260,GSM3359970,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:43:00Z,1,GSM3359970,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770824,OTHER,201,2507781796,PRJNA488313,SAMN09930087,1156065654,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626261,GSM3359971,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:45:00Z,1,GSM3359971,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770825,OTHER,201,25087570467,PRJNA488313,SAMN09930087,10420827386,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626261,GSM3359971,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T19:11:00Z,1,GSM3359971,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770826,OTHER,201,843590932,PRJNA488313,SAMN09930086,383339338,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626262,GSM3359972,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:40:00Z,1,GSM3359972,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770827,OTHER,201,8694050873,PRJNA488313,SAMN09930086,3594840400,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626262,GSM3359972,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:15:00Z,1,GSM3359972,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770828,OTHER,201,1528587306,PRJNA488313,SAMN09930085,696698536,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626263,GSM3359973,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:43:00Z,1,GSM3359973,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770829,OTHER,201,15143249756,PRJNA488313,SAMN09930085,6273949253,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626263,GSM3359973,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:55:00Z,1,GSM3359973,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770830,OTHER,201,1391870531,PRJNA488313,SAMN09930084,633378303,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626264,GSM3359974,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:42:00Z,1,GSM3359974,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770831,OTHER,201,14004570881,PRJNA488313,SAMN09930084,5812800016,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626264,GSM3359974,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:46:00Z,1,GSM3359974,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770832,OTHER,201,1526030294,PRJNA488313,SAMN09930083,702726497,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626265,GSM3359975,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:43:00Z,1,GSM3359975,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770833,OTHER,201,15867803926,PRJNA488313,SAMN09930083,6622880219,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626265,GSM3359975,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:54:00Z,1,GSM3359975,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770834,OTHER,201,1365033525,PRJNA488313,SAMN09930082,619181785,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626266,GSM3359976,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:43:00Z,1,GSM3359976,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770835,OTHER,201,13877034634,PRJNA488313,SAMN09930082,5736141130,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626266,GSM3359976,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:45:00Z,1,GSM3359976,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770836,OTHER,201,1075101789,PRJNA488313,SAMN09930081,497413511,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626267,GSM3359977,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:41:00Z,1,GSM3359977,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770837,OTHER,201,11158211036,PRJNA488313,SAMN09930081,4686708094,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626267,GSM3359977,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:23:00Z,1,GSM3359977,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770838,OTHER,201,2130180064,PRJNA488313,SAMN09930080,966386857,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626268,GSM3359978,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:48:00Z,1,GSM3359978,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770839,OTHER,201,20772583861,PRJNA488313,SAMN09930080,8572802328,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626268,GSM3359978,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T18:25:00Z,1,GSM3359978,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770840,OTHER,201,2633071,PRJNA488313,SAMN09930079,1377610,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626269,GSM3359979,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:37:00Z,1,GSM3359979,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770841,OTHER,201,2961415,PRJNA488313,SAMN09930078,1524743,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626270,GSM3359980,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:37:00Z,1,GSM3359980,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770842,OTHER,201,3650128,PRJNA488313,SAMN09930077,1869699,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626271,GSM3359981,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:37:00Z,1,GSM3359981,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770843,OTHER,201,1599881,PRJNA488313,SAMN09930076,872520,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626272,GSM3359982,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:37:00Z,1,GSM3359982,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770844,OTHER,201,1816214,PRJNA488313,SAMN09930075,968773,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626273,GSM3359983,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:37:00Z,1,GSM3359983,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770845,OTHER,201,2817512579,PRJNA488313,SAMN09930074,1473383988,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626274,GSM3359984,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:54:00Z,1,GSM3359984,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770846,OTHER,201,4025378874,PRJNA488313,SAMN09930074,2083992188,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626274,GSM3359984,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:01:00Z,1,GSM3359984,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770847,OTHER,201,3617085068,PRJNA488313,SAMN09930073,1880402929,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626275,GSM3359985,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:56:00Z,1,GSM3359985,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770848,OTHER,201,5097836237,PRJNA488313,SAMN09930073,2627859110,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626275,GSM3359985,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:09:00Z,1,GSM3359985,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
